iter	Passed	Remaining
901	2102	228
902	2105	226
903	2108	223
904	2110	221
905	2113	219
906	2116	216
907	2118	214
908	2120	212
909	2123	209
910	2125	207
911	2127	205
912	2130	202
913	2132	200
914	2134	198
915	2137	196
916	2139	193
917	2142	191
918	2144	189
919	2146	186
920	2148	184
921	2151	181
922	2153	179
923	2155	177
924	2157	174
925	2159	172
926	2162	170
927	2164	167
928	2166	165
929	2168	163
930	2171	160
931	2173	158
932	2175	156
933	2177	153
934	2179	151
935	2182	149
936	2184	146
937	2186	144
938	2188	142
939	2191	139
940	2193	137
941	2195	135
942	2198	132
943	2200	130
944	2202	128
945	2204	125
946	2206	123
947	2209	121
948	2212	118
949	2214	116
950	2216	114
951	2218	111
952	2220	109
953	2223	107
954	2225	104
955	2227	102
956	2230	100
957	2233	97
958	2236	95
959	2238	93
960	2240	90
961	2242	88
962	2245	86
963	2247	83
964	2250	81
965	2252	79
966	2255	76
967	2257	74
968	2261	72
969	2263	70
970	2265	67
971	2268	65
972	2271	63
973	2273	60
974	2275	58
975	2278	56
976	2281	53
977	2284	51
978	2286	49
979	2288	46
980	2290	44
981	2294	42
982	2296	39
983	2299	37
984	2301	35
985	2303	32
986	2306	30
987	2308	28
988	2310	25
989	2312	23
990	2315	21
991	2317	18
992	2319	16
993	2321	14
994	2324	11
995	2326	9
996	2328	7
997	2330	4
998	2334	2
999	2336	0
