iter	Logloss
0	0.6871431571
1	0.6817295477
2	0.6762073288
3	0.6707021004
4	0.6653784643
5	0.6597211193
6	0.6546057869
7	0.6494975455
8	0.6450922251
9	0.6405654925
10	0.6361682306
11	0.6320707538
12	0.6280125354
13	0.624208767
14	0.6204267877
15	0.6161787326
16	0.6126444963
17	0.6096990969
18	0.6064965315
19	0.6030555101
20	0.599719451
21	0.5963708479
22	0.592917291
23	0.589935846
24	0.5868014013
25	0.584304574
26	0.5813580908
27	0.5787031559
28	0.5758473309
29	0.5734634195
30	0.5711529767
31	0.569036173
32	0.5666433963
33	0.564401575
34	0.5619768869
35	0.5600135496
36	0.5582335698
37	0.5560372389
38	0.5540818314
39	0.5521775733
40	0.5501659125
41	0.5485810347
42	0.5470538027
43	0.5453438673
44	0.5436866704
45	0.5418238822
46	0.5404133758
47	0.5387976342
48	0.5373710975
49	0.5359545594
50	0.5343493007
51	0.5327779945
52	0.5314719853
53	0.5298906259
54	0.5284788609
55	0.5271371511
56	0.525903313
57	0.5249124361
58	0.5238669047
59	0.5228595358
60	0.5216032176
61	0.5206822177
62	0.519602774
63	0.5187445441
64	0.5177463218
65	0.5165890423
66	0.5155707823
67	0.5144893458
68	0.5136567939
69	0.5126593407
70	0.5115005792
71	0.5106783356
72	0.5096053444
73	0.5088253385
74	0.5081238306
75	0.5074188491
76	0.5064444664
77	0.5054116617
78	0.5048065764
79	0.5041674071
80	0.5031709423
81	0.5024373706
82	0.5017507149
83	0.5011454706
84	0.5005032846
85	0.4997362995
86	0.4988530574
87	0.4980947895
88	0.4974745445
89	0.4967947989
90	0.4961810336
91	0.495678053
92	0.4948822213
93	0.4938669409
94	0.4932552481
95	0.4924980214
96	0.4918272822
97	0.4913052923
98	0.4907681405
99	0.4899529506
100	0.489305397
101	0.4885942528
102	0.4881646953
103	0.4877702346
104	0.4872083907
105	0.486799328
106	0.4863047414
107	0.4857034626
108	0.4851972308
109	0.4846393583
110	0.4841723508
111	0.4836403615
112	0.4832653322
113	0.4827606876
114	0.4822445929
115	0.4818619928
116	0.4812195851
117	0.4806372101
118	0.4800203222
119	0.4794851508
120	0.4788996776
121	0.4782984493
122	0.4778321229
123	0.4774854647
124	0.4769838605
125	0.4765386295
126	0.4761061042
127	0.4756862477
128	0.4753574422
129	0.4748305932
130	0.4744250874
131	0.4741859864
132	0.4737287675
133	0.4732221253
134	0.4727180949
135	0.4723728001
136	0.4718242303
137	0.4712431379
138	0.4709612881
139	0.4705808392
140	0.4701564216
141	0.4694974735
142	0.4690054743
143	0.4686957055
144	0.4683489117
145	0.4679725516
146	0.4675512345
147	0.4670605491
148	0.4666260454
149	0.4662526382
150	0.4658440146
151	0.4652202338
152	0.4648959865
153	0.4646010934
154	0.4640544668
155	0.4637192072
156	0.4634728225
157	0.4631832226
158	0.4627864249
159	0.4624795454
160	0.4622613247
161	0.461954102
162	0.4617679111
163	0.4614361419
164	0.4611607638
165	0.4607747758
166	0.4606105709
167	0.4603699716
168	0.4598411517
169	0.4595026544
170	0.4591205555
171	0.4588342217
172	0.4583392831
173	0.4579651613
174	0.4577307421
175	0.4573337655
176	0.4568682344
177	0.4565439297
178	0.4561850192
179	0.4557826204
180	0.4553731689
181	0.4548733465
182	0.4545207511
183	0.4543285565
184	0.4539770266
185	0.4537061434
186	0.4532952826
187	0.4530435354
188	0.4527883231
189	0.4525449727
190	0.4522973687
191	0.452042605
192	0.4515477841
193	0.4513715569
194	0.4510504444
195	0.4508148148
196	0.4503946705
197	0.4500400199
198	0.4498864566
199	0.4496635424
200	0.4494719133
201	0.4491092318
202	0.4487257119
203	0.4484965845
204	0.4480120602
205	0.4476148422
206	0.4473270107
207	0.4469817921
208	0.4468221541
209	0.4464946769
210	0.4461855971
211	0.4458833235
212	0.4455454338
213	0.4453874241
214	0.4450668118
215	0.4448653155
216	0.4445742308
217	0.4442360117
218	0.4438943717
219	0.4437669329
220	0.4433822444
221	0.4431138628
222	0.4428909695
223	0.4427110605
224	0.4424150403
225	0.4420866961
226	0.441844427
227	0.4415887834
228	0.4412557
229	0.4409839986
230	0.4407002504
231	0.4405496346
232	0.4403191944
233	0.4401268236
234	0.4399008026
235	0.4396063851
236	0.439237397
237	0.4390610373
238	0.4388617489
239	0.438500744
240	0.4382605789
241	0.4379392058
242	0.4378363682
243	0.4374666689
244	0.4371370211
245	0.4367413603
246	0.4364046612
247	0.4361661335
248	0.4356480021
249	0.4354262331
250	0.4351544194
251	0.4349215489
252	0.4346543858
253	0.4345754242
254	0.434366204
255	0.4341174445
256	0.4339647514
257	0.4336661746
258	0.433450595
259	0.4331571277
260	0.4330680848
261	0.4327658748
262	0.432565638
263	0.4323632384
264	0.431994838
265	0.4317569716
266	0.4314905457
267	0.4311979669
268	0.4308958781
269	0.4305476496
270	0.4303880458
271	0.4301220872
272	0.4298697533
273	0.4296282206
274	0.4292894491
275	0.4289564123
276	0.4287175113
277	0.4283442775
278	0.4280527804
279	0.427706653
280	0.4274257639
281	0.4271523131
282	0.4267641012
283	0.4264235874
284	0.4261551565
285	0.4258580688
286	0.4255932243
287	0.4251272704
288	0.4249142546
289	0.4247721659
290	0.4245902676
291	0.4243833756
292	0.4242154202
293	0.4239431793
294	0.4236605463
295	0.4235464687
296	0.42327046
297	0.4230573849
298	0.4227790641
299	0.4225855429
300	0.4223613338
301	0.4221407518
302	0.4219503788
303	0.4217150586
304	0.4213788174
305	0.4212185509
306	0.4209853844
307	0.4208404136
308	0.4205566556
309	0.4203044582
310	0.4200528903
311	0.4198880041
312	0.419587119
313	0.419396467
314	0.4192016095
315	0.4189490219
316	0.4187429581
317	0.4184948065
318	0.4182892399
319	0.4180527198
320	0.4179403004
321	0.4176783749
322	0.4173429995
323	0.4171547279
324	0.4168605542
325	0.4165395911
326	0.4162171165
327	0.4159038441
328	0.415722866
329	0.4153280116
330	0.4151273889
331	0.4149748108
332	0.4147795604
333	0.4144427757
334	0.4141400571
335	0.4139934965
336	0.4137863238
337	0.4135828912
338	0.4133121879
339	0.4131064684
340	0.412832358
341	0.4125664767
342	0.4122645902
343	0.4120280236
344	0.4118123901
345	0.4116361806
346	0.411474857
347	0.411257092
348	0.4111550945
349	0.4108950351
350	0.4105837364
351	0.4103548155
352	0.4101420966
353	0.4099309351
354	0.4097786972
355	0.4095471458
356	0.4092994029
357	0.4092138034
358	0.4089736572
359	0.4087072031
360	0.4082848
361	0.4080709038
362	0.407898742
363	0.4077274488
364	0.4074379026
365	0.4072906141
366	0.4071679838
367	0.4067852342
368	0.4063106965
369	0.4061283721
370	0.4058738855
371	0.4056381878
372	0.4052713666
373	0.4050600915
374	0.4048229131
375	0.4046422877
376	0.4042858424
377	0.4041317396
378	0.4039467493
379	0.403807765
380	0.4036387368
381	0.4034089889
382	0.4031556952
383	0.4029525686
384	0.4027412859
385	0.4025164558
386	0.4023983154
387	0.4022919239
388	0.4019462192
389	0.4015111271
390	0.4013326986
391	0.4012338872
392	0.4008965932
393	0.4007558458
394	0.4003279746
395	0.4000161906
396	0.3998129884
397	0.3996573267
398	0.3994613288
399	0.3991451175
400	0.3990159303
401	0.3987753092
402	0.3986224975
403	0.3984730569
404	0.3981010752
405	0.3978360542
406	0.3975427919
407	0.3972064329
408	0.3969175724
409	0.3965489686
410	0.396298801
411	0.396025893
412	0.3957909956
413	0.3955955917
414	0.395398221
415	0.3950546465
416	0.3947498196
417	0.3945883067
418	0.3944202764
419	0.3942127126
420	0.3939802273
421	0.3938315275
422	0.3936917022
423	0.3935180948
424	0.3932769878
425	0.3930185295
426	0.392775136
427	0.3924926319
428	0.392235443
429	0.3921342879
430	0.3919721631
431	0.3916742451
432	0.3914031082
433	0.3911972568
434	0.3908569132
435	0.3906171788
436	0.3904684616
437	0.3901848794
438	0.3899665843
439	0.3898238804
440	0.3894579673
441	0.3892325689
442	0.3889299661
443	0.3887497864
444	0.3885140215
445	0.3882500421
446	0.3880006857
447	0.3876874946
448	0.3873818094
449	0.3872542782
450	0.3870962593
451	0.3870025302
452	0.386728234
453	0.3864094718
454	0.3861437167
455	0.385785948
456	0.3855340035
457	0.3852985999
458	0.3851109633
459	0.3847378092
460	0.3844868161
461	0.3842268972
462	0.3839759349
463	0.3836829747
464	0.3833634049
465	0.3830482317
466	0.3828023424
467	0.3825503587
468	0.382242178
469	0.3819684001
470	0.3817611639
